Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-1024ALM-WHI,KONE,Suspension - 10W LED -120V - Aluminum - White,854.00,690.00
D,D4-1024TIM-SIL,KONE,Suspension - 10W LED -120V - Titanium - Silver Leaf,916.00,738.00
D,D4-1024CHO-GLF,KONE,Suspension - 10W LED -120V - Chocolate - Gold Leaf,916.00,738.00
D,D4-1024BAL-WHI,KONE,Suspension - 10W LED -120V - Brushed Aluminum - White,916.00,738.00
D,D4-1025WHI,KONE,Suspension - 4.5W LED -120V - White,600.00,482.00
D,D4-1025TIM-WHI,KONE,Suspension - 4.5W LED -120V - Titanium - White,662.00,534.00
D,D4-1025CHO-WHI,KONE,Suspension - 4.5W LED -120V - Chocolate - White,662.00,534.00
D,D4-1025ALM-WHI,KONE,Suspension - 4.5W LED -120V - Aluminum - White,662.00,534.00
D,D4-1025TIM-SLF,KONE,Suspension - 4.5W LED -120V - Titanium - Silver Leaf,724.00,584.00
D,D4-1025CHO-GLF,KONE,Suspension - 4.5W LED -120V - Chocolate - Gold Leaf,724.00,584.00
D,D4-1025BAL-WHI,KONE,Suspension - 4.5W LED -120V - Brushed Aluminum - White,724.00,584.00
D,D4-2016WHI,KONE,Surface Ceiling - 4.5W LED -120V - White,274.00,220.00
D,D4-2016TIM-WHI,KONE,Surface Ceiling - 4.5W LED -120V - Titanium - White,302.00,244.00
D,D4-2016CHO-WHI,KONE,Surface Ceiling - 4.5W LED -120V - Chocolate - White,302.00,244.00
D,D4-2016ALM-WHI,KONE,Surface Ceiling - 4.5W LED -120V - Aluminum - White,302.00,244.00
D,D4-2016TIM-SLF,KONE,Surface Ceiling - 4.5W LED -120V - Titanium - Silver Leaf,340.00,274.00
D,D4-2016CHO-GLF,KONE,Surface Ceiling - 4.5W LED -120V - Chocolate - Gold Leaf,340.00,274.00
D,D4-2016BAL-WHI,KONE,Surface Ceiling - 4.5W LED -120V - Brushed Aluminum - White,854.00,274.00
D,D4-2017WHI,KONE,Surface Ceiling - 10W LED -120V - White,372.00,300.00
D,D4-2017TIM-WHI,KONE,Surface Ceiling - 10W LED -120V - Titanium - White,396.00,320.00
D,D4-2017CHO-WHI,KONE,Surface Ceiling - 10W LED -120V - Chocolate - White,396.00,320.00
D,D4-2017ALU-WHI,KONE,Surface Ceiling - 10W LED -120V - Aluminum - White,396.00,320.00
D,D4-2017TIM-SLF,KONE,Surface Ceiling - 10W LED -120V - Titanium - Silver Leaf,416.00,334.00
D,D4-2017CHO-GLF,KONE,Surface Ceiling - 10W LED -120V - Chocolate - Gold Leaf,416.00,334.00
D,D4-2017BAL-WHI,KONE,Surface Ceiling - 10W LED -120V - Brushed Aluminum - White,416.00,334.00
D,D4-2018WHI,KONE,Surface Ceiling - 17W LED -120V - White,574.00,462.00
D,D4-2018TIM-WHI,KONE,Surface Ceiling - 17W LED -120V - Titanium - White,628.00,506.00
D,D4-2018CHO-WHI,KONE,Surface Ceiling - 17W LED -120V - Chocolate - White,628.00,506.00
D,D4-2018ALM-WHI,KONE,Surface Ceiling - 17W LED -120V - Aluminum - White,628.00,506.00
D,D4-2018TIM-SLF,KONE,Surface Ceiling - 17W LED -120V - Titanium - Silver Leaf,642.00,518.00
D,D4-2018CHO-GLF,KONE,Surface Ceiling - 17W LED -120V - Chocolate - Gold Leaf,642.00,518.00
D,D4-2018BAL-WHI,KONE,Surface Ceiling - 17W LED -120V - Brushed Aluminum - White,642.00,518.00
D,D4-3037WHI,KONE,Surface Wall - 17W LED -120V - 3000K - White,762.00,614.00
D,D4-3037CHO-WHI,KONE,Surface Wall  - 17W LED -120V - 3000K -Chocolate - White,828.00,668.00
D,D4-3037TIM-WHI,KONE,Surface Wall  - 17W LED -120V - 3000K -Titanium - White,828.00,668.00
D,D4-3037BAL-WHI,KONE,Surface Wall  - 17W LED -120V - 3000K - Brushed Aluminum - White,828.00,668.00
D,D4-3010WHI,KONE,Surface Wall  - 35W LED -120V - 3000K - White,1044.00,842.00
D,D4-3010TIM-WHI,KONE,Surface Wall  - 35W LED -120V - 3000K -Titanium - White,1154.00,930.00
